iso
AFG
AGO
ALB
ARE
ARG
ARM
AUS
AUT
AZE
BDI
BEL
BEN
BFA
BGD
BGR
BHR
BHS
BIH
BLR
BLZ
BOL
BRA
BRB
BRN
BTN
BWA
CAF
CAN
CHE
CHL
CHN
CIV
CMR
COD
COG
COL
COM
CPV
CRI
CUB
CYP
CZE
DEU
DJI
DNK
DOM
DZA
ECU
EGY
ERI
ESP
EST
ETH
FIN
FJI
FRA
GAB
GBR
GEO
GHA
GIN
GMB
GNB
GNQ
GRC
GTM
GUY
HKG
HND
HRV
HTI
HUN
IDN
IND
IRL
IRN
IRQ
ISL
ISR
ITA
JAM
JOR
JPN
KAZ
KEN
KGZ
KHM
KOR
KWT
LAO
LBN
LBR
LBY
LCA
LKA
LSO
LTU
LUX
LVA
MAC
MAR
MDA
MDG
MDV
MEX
MKD
MLI
MLT
MMR
MNE
MNG
MOZ
MRT
MUS
MWI
MYS
NAM
NCL
NER
NGA
NIC
NLD
NOR
NPL
NZL
OMN
PAK
PAN
PER
PHL
PNG
POL
PRI
PRK
PRT
PRY
PSE
PYF
QAT
ROU
RUS
RWA
SAU
SDN
SEN
SGP
SLB
SLE
SLV
SOM
SRB
SSD
STP
SUR
SVK
SVN
SWE
SWZ
SYR
TCD
TGO
THA
TJK
TKM
TLS
TTO
TUN
TUR
TWN
TZA
UGA
UKR
URY
USA
UZB
VEN
VNM
VUT
WSM
YEM
ZAF
ZMB
ZWE
